UserID,Timestamp,URLVisitada,TempoSessao
64,2023-01-01 00:00:00,pagina_0,126
643,2023-01-01 00:00:01,pagina_1,99
403,2023-01-01 00:00:02,pagina_2,61
381,2023-01-01 00:00:03,pagina_3,238
859,2023-01-01 00:00:04,pagina_4,193
670,2023-01-01 00:00:05,pagina_5,287
864,2023-01-01 00:00:06,pagina_6,97
214,2023-01-01 00:00:07,pagina_7,220
663,2023-01-01 00:00:08,pagina_8,39
425,2023-01-01 00:00:09,pagina_9,37
692,2023-01-01 00:00:10,pagina_0,41
827,2023-01-01 00:00:11,pagina_1,200
670,2023-01-01 00:00:12,pagina_2,212
334,2023-01-01 00:00:13,pagina_3,222
340,2023-01-01 00:00:14,pagina_4,98
892,2023-01-01 00:00:15,pagina_5,36
94,2023-01-01 00:00:16,pagina_6,124
59,2023-01-01 00:00:17,pagina_7,260
58,2023-01-01 00:00:18,pagina_8,178
348,2023-01-01 00:00:19,pagina_9,157
857,2023-01-01 00:00:20,pagina_0,142
21,2023-01-01 00:00:21,pagina_1,162
960,2023-01-01 00:00:22,pagina_2,100
493,2023-01-01 00:00:23,pagina_3,143
861,2023-01-01 00:00:24,pagina_4,114
995,2023-01-01 00:00:25,pagina_5,11
208,2023-01-01 00:00:26,pagina_6,200
322,2023-01-01 00:00:27,pagina_7,153
773,2023-01-01 00:00:28,pagina_8,189
321,2023-01-01 00:00:29,pagina_9,196
457,2023-01-01 00:00:30,pagina_0,90
384,2023-01-01 00:00:31,pagina_1,297
278,2023-01-01 00:00:32,pagina_2,173
262,2023-01-01 00:00:33,pagina_3,106
439,2023-01-01 00:00:34,pagina_4,255
324,2023-01-01 00:00:35,pagina_5,101
466,2023-01-01 00:00:36,pagina_6,279
750,2023-01-01 00:00:37,pagina_7,12
192,2023-01-01 00:00:38,pagina_8,256
766,2023-01-01 00:00:39,pagina_9,252
557,2023-01-01 00:00:40,pagina_0,232
566,2023-01-01 00:00:41,pagina_1,69
899,2023-01-01 00:00:42,pagina_2,217
294,2023-01-01 00:00:43,pagina_3,151
673,2023-01-01 00:00:44,pagina_4,101
363,2023-01-01 00:00:45,pagina_5,241
749,2023-01-01 00:00:46,pagina_6,219
818,2023-01-01 00:00:47,pagina_7,124
256,2023-01-01 00:00:48,pagina_8,61
361,2023-01-01 00:00:49,pagina_9,287
340,2023-01-01 00:00:50,pagina_0,28
311,2023-01-01 00:00:51,pagina_1,148
512,2023-01-01 00:00:52,pagina_2,199
9,2023-01-01 00:00:53,pagina_3,35
874,2023-01-01 00:00:54,pagina_4,255
307,2023-01-01 00:00:55,pagina_5,136
266,2023-01-01 00:00:56,pagina_6,234
602,2023-01-01 00:00:57,pagina_7,189
568,2023-01-01 00:00:58,pagina_8,81
449,2023-01-01 00:00:59,pagina_9,69
617,2023-01-01 00:01:00,pagina_0,84
457,2023-01-01 00:01:01,pagina_1,154
921,2023-01-01 00:01:02,pagina_2,218
142,2023-01-01 00:01:03,pagina_3,270
265,2023-01-01 00:01:04,pagina_4,203
270,2023-01-01 00:01:05,pagina_5,271
536,2023-01-01 00:01:06,pagina_6,75
674,2023-01-01 00:01:07,pagina_7,171
638,2023-01-01 00:01:08,pagina_8,35
863,2023-01-01 00:01:09,pagina_9,17
257,2023-01-01 00:01:10,pagina_0,73
146,2023-01-01 00:01:11,pagina_1,40
